CID	CIDint	IDSURVEY	TYPE	FIELD	zHD	zHDERR	z	zERR	HOST_LOGMASS	HOST_LOGMASS_ERR	SNRMAX1	SNRMAX2	SNRMAX3	PKMJD	PKMJDERR	x1	x1ERR	c	cERR	mB	mBERR	x0	x0ERR	COV_x1_c	COV_x1_x0	COV_c_x0	NDOF	FITCHI2	FITPROB	RA	DECL	TGAPMAX	MU	MUERR	MUERR_NOSIGMB	MURES	MUPULL	sbar	cbar	ERRCODE
2004as	2004	63	0	NULL	0.03257923573255539	0.00001	0.03139	0.00001	9.369	0.06	47.6302	41.6597	35.7216	53086.332	0.153	0.409	0.1444	0.0313748	0.0280725	16.686984628799998	0.0321745	0.00369153435945	0.000113219	0.00016576	-3.31905e-6	-2.72887e-6	16	22.1312	0.1797	171.413269	22.83029	22.83029	36.0042	0.0652	0.0652	0.311	4.776	0.162	0.149	0
1991U	1991	50	0	NULL	0.0327	0.00001	0.0327	0.00001	10.855	3.751	36.1923	36.1919	36.1915	48356.168	0.521	0.365	0.1763	0.0488179	0.0357321	16.253193201000002	0.0657609	0.0058172975462	0.000370972	0.00035599	-8.78005e-6	-0.0000115224	19	15.1178	0.7151	200.841415	-26.120119	6.7783	35.4501	0.067	0.067	-0.334	-4.981	0.73	-0.082	0
2008bq	2008	5	1	NULL	0.03270907327532768	0.00001	0.0346	0.00001	10.726	3.962	166.6673	166.6671	166.6664	54563.629	0.084	0.3774	0.0420413	0.0385609	0.0261964	16.4735956692	0.0589675	0.0047484960218	0.00027095	-0.000294038	2.34288e-6	-5.3923e-6	60	67.4347	0.2666	100.260002	-38.038601	-38.038601	35.7041	0.0541	0.0541	-0.205	-3.797	0.421	-0.027	0
2007ai	2007	64	0	NULL	0.03284803032875061	0.00001	0.03203	0.00001	11.223	3.467	50.0058	47.6312	37.0528	54174.094	0.395	1.3928	0.2416	0.155	0.0568533	16.7057550888	0.1795	0.00383443737279	0.000709501	-0.00118166	3.74599e-6	-0.0000357921	26	47.9358	0.00780582	243.223923	-21.630159	-21.630159	35.7174	0.1023	0.1023	-0.022	-0.212	1.415	0.155	64
2006te	2006	64	0	NULL	0.03291890397667885	0.00001	0.03155	0.00001	10.569	0.056	52.641	50.0125	34.4849	54097.164	0.389	-0.133145	0.1042	-0.0546156	0.0309226	16.3289604729	0.0467755	0.00542508014514	0.000240432	-0.000277314	-2.31544e-7	-5.05831e-6	39	41.3425	0.4118	122.929008	41.554668	41.554668	35.7768	0.0755	0.0755	0.073	0.961	-0.164	-0.03	0
2008gl	2008	65	1	NULL	0.03323329612612724	0.00001	0.03411	0.00001	11.122	0.432	56.1798	53.1915	52.3562	54768.488	0.101	-1.45801	0.0979702	-0.0162311	0.0282368	16.5944169506	0.0342505	0.00424844963331	0.00013896	-0.000107195	-1.26251e-6	-3.21661e-6	29	14.1439	0.9906	20.228416	4.805339	4.805339	35.7378	0.0648	0.0648	-0.14	-2.161	-1.391	-0.072	0
2008bw	2008	65	1	NULL	0.03342850133776665	0.00001	0.03313	0.00001	10.24	4.496	38.61	27.027	16.2338	54565.477	0.779	-1.5474	0.245	-0.183694	0.0623451	16.3046991376	0.1099	0.0055478795395	0.000559665	0.00249474	-0.0000621293	-0.0000289154	15	10.957	0.8121	276.710175	51.137894	51.137894	35.9547	0.1292	0.1292	0.142	1.097	-1.655	-0.133	0
2005iq	2005	64	0	NULL	0.03353433310985565	0.00001	0.0337	0.00001	10.66	4.028	50	43.4713	38.4506	53687.82	0.146	-1.12129	0.1146	-0.07006	0.0276122	16.6039387072	0.0322679	0.00421133683326	0.000127536	-0.0000954516	-5.91041e-7	-3.02098e-6	40	30.0906	0.8955	359.635101	-18.70916	-18.70916	35.9613	0.0629	0.0629	0.11	1.755	-1.184	-0.026	0
2004L	2004	63	0	NULL	0.033951226621866226	0.00001	0.03229	0.00001	10.621	0.054	52.6207	40.0058	34.4882	53031.816	0.731	-1.192	0.2854	0.1937	0.032227	17.1948988406	0.0447794	0.00244369628717	0.000105922	0.000407525	-2.5549e-6	-2.54806e-6	17	36.7581	0.0056341	156.767197	16.018829	16.018829	35.7247	0.0821	0.0821	-0.032	-0.394	-1.138	0.184	64
2008af	2008	64	0	NULL	0.034148912876844406	0.00001	0.0346	0.00001	11.359	0.434	71.4361	71.4358	58.8155	54502.812	0.65	-1.55549	0.1418	0.013129	0.0327998	16.6933673919	0.0658949	0.00387853061834	0.000248055	0.000325656	-3.67827e-6	-4.07772e-6	24	18.7528	0.8088	224.868713	16.653271	16.653271	35.732	0.0921	0.0921	-0.178	-1.927	-1.496	-0.032	0
2005be	2005	5	1	NULL	0.0341978520154953	0.00001	0.035	0.00001	11.342	0.452	58.8238	58.8237	58.8236	53459.609	0.254	-1.85482	0.0636309	-0.118227	0.0272797	16.5000154942	0.042102	0.00463457118169	0.000176361	0.000230572	-3.99449e-6	-3.40315e-6	46	23.7589	0.9981	224.886002	16.669901	16.669901	35.904	0.0637	0.0637	-0.031	-0.489	-1.849	-0.13	0
1997dg	1997	62	0	NULL	0.03424549102783203	0.00001	0.0346	0.00001	9.566	0.145	90.477	63.8657	51.7007	50720.781	0.287	-0.279164	0.1771	-0.0288146	0.0310033	16.571538028099997	0.0563695	0.00410561182946	0.000221634	-0.000231459	2.37842e-6	-5.1699e-6	14	16.7481	0.3341	355.052948	26.205219	26.205219	35.979	0.0695	0.0695	0.069	0.998	-0.342	-0.006	0
2003cq	2003	63	0	NULL	0.03425861522555351	0.00001	0.0333	0.00001	11.224	0.044	62.5168	58.8452	-99	52739.727	0.162	-0.735469	0.1663	0.0725437	0.0513052	16.936774496	0.0597989	0.00309956680513	0.000180316	-0.000291518	-2.81375e-6	-8.64078e-6	12	31.1503	0.00320513	179.058975	60.522129	60.522129	35.9061	0.1077	0.1077	0.081	0.748	-0.776	0.109	64
1996bl	1996	61	0	NULL	0.03427398204803467	0.00001	0.036	0.00001	10.563	0.031	63.866	51.7015	45.2381	50377.113	0.153	-0.140253	0.11	-0.0260752	0.0315484	16.4599319303	0.0631532	0.00480870790843	0.000292957	0.000158019	-1.94441e-6	-7.19158e-6	27	46.4211	0.0157571	9.07365	11.39695	11.39695	35.8183	0.064	0.064	-0.18	-2.807	-0.068	-0.09	0
2006gr	2006	64	0	NULL	0.034353695809841156	0.00001	0.03518	0.00001	11.377	0.026	76.9086	62.5229	55.5621	54013.363	0.066	0.8083	0.0723355	0.090836	0.0294344	16.781912368300002	0.0578745	0.00357468807944	0.000200887	-0.000201311	3.65229e-7	-4.62884e-6	53	72.2214	0.0407027	338.094482	30.828831	30.828831	35.9107	0.0598	0.0598	-0.036	-0.601	0.821	0.077	0
